country,hour,avg_pm25,avg_so2,avg_co,air_quality_level
AR,2017-08-19T00:00:00,,,0.7466666666666667,low
AR,2017-08-19T01:00:00,,,0.75,low
AR,2017-08-19T02:00:00,,,0.7600000000000001,low
AR,2017-08-19T03:00:00,,,0.9166666666666666,low
AU,2017-08-19T00:00:00,2.59,0.04491891891891892,0.1,low
AU,2017-08-19T01:00:00,2.057246376811594,0.04316216216216216,0.08666666666666667,low
AU,2017-08-19T02:00:00,1.5185840707964602,0.041947368421052636,0.08666666666666667,low
AU,2017-08-19T03:00:00,2.4974683544303797,0.03923684210526315,0.1,low
BA,2017-08-19T00:00:00,28.059999999999995,,,low
BA,2017-08-19T01:00:00,26.26,,,low
BA,2017-08-19T02:00:00,25.28,,,low
BA,2017-08-19T03:00:00,24.6,,,low
BD,2017-08-19T01:00:00,12.0,,,low
BD,2017-08-19T02:00:00,47.0,,,moderate
BD,2017-08-19T03:00:00,17.0,,,low
BH,2017-08-19T01:00:00,71.0,,,moderate
BH,2017-08-19T02:00:00,71.0,,,moderate
BH,2017-08-19T03:00:00,65.0,,,moderate
BR,2017-08-19T00:00:00,19.2,,1.03,low
BR,2017-08-19T01:00:00,19.35,,1.01,low
BR,2017-08-19T02:00:00,18.4,,0.95,low
CA,2017-08-19T00:00:00,3.926086956521739,0.0002,0.09,low
CA,2017-08-19T01:00:00,8.598333333333333,0.00014285714285714287,0.39,low
CA,2017-08-19T02:00:00,10.11774193548387,0.00014285714285714287,0.394,low
CA,2017-08-19T03:00:00,8.226229508196722,0.00014285714285714287,0.27999999999999997,low
CL,2017-08-19T00:00:00,29.65125,,,low
CL,2017-08-19T01:00:00,31.987321428571427,,,low
CL,2017-08-19T02:00:00,30.734642857142855,,,low
CL,2017-08-19T03:00:00,31.916153846153847,,,low
CN,2017-08-19T01:00:00,20.0,,,low
CN,2017-08-19T02:00:00,22.0,,,low
CN,2017-08-19T03:00:00,20.6,,,low
CO,2017-08-19T02:00:00,30.0,,,low
CO,2017-08-19T03:00:00,21.0,,,low
ET,2017-08-19T01:00:00,14.0,,,low
ET,2017-08-19T02:00:00,20.0,,,low
ET,2017-08-19T03:00:00,20.0,,,low
GB,2017-08-19T00:00:00,5.365384615384615,,,low
GB,2017-08-19T01:00:00,5.215686274509804,,,low
GB,2017-08-19T02:00:00,5.096153846153846,,,low
GB,2017-08-19T03:00:00,5.0,,,low
ID,2017-08-19T00:00:00,23.5,,,low
ID,2017-08-19T01:00:00,29.0,,,low
ID,2017-08-19T02:00:00,43.0,,,moderate
ID,2017-08-19T03:00:00,45.5,,,moderate
IL,2017-08-19T00:00:00,,0.000574296262113521,0.3523161764705882,low
IL,2017-08-19T01:00:00,,0.0005918742724097788,0.3375229021619641,low
IL,2017-08-19T02:00:00,,0.0006093793747083528,0.3069653482674134,low
IL,2017-08-19T03:00:00,,0.000627455919395466,0.29040348964013085,low
IN,2017-08-19T00:00:00,37.417258064516126,,,low
IN,2017-08-19T01:00:00,30.306779661016947,,,low
IN,2017-08-19T02:00:00,33.750344827586204,,,low
IN,2017-08-19T03:00:00,38.77222222222222,,,low
KW,2017-08-19T01:00:00,94.0,,,high
KW,2017-08-19T02:00:00,80.0,,,high
KW,2017-08-19T03:00:00,35.0,,,low
MN,2017-08-19T00:00:00,8.214285714285714,,,low
MN,2017-08-19T01:00:00,7.846153846153846,,,low
MN,2017-08-19T02:00:00,8.0,,,low
MN,2017-08-19T03:00:00,7.0,,,low
MX,2017-08-19T00:00:00,14.8625,0.004285714285714286,0.5337931034482759,low
MX,2017-08-19T01:00:00,14.788888888888888,0.0031379310344827587,0.5906666666666667,low
MX,2017-08-19T02:00:00,19.87777777777778,0.0029666666666666665,0.6832258064516129,low
MX,2017-08-19T03:00:00,14.45,0.0024333333333333334,0.6713333333333333,low
NL,2017-08-19T00:00:00,4.1457151981875,,,low
NL,2017-08-19T01:00:00,4.1053306144374995,,,low
NL,2017-08-19T02:00:00,4.201412668021277,,,low
NL,2017-08-19T03:00:00,4.162867960212766,,,low
NO,2017-08-19T00:00:00,5.31016235303125,,,low
NO,2017-08-19T01:00:00,4.88722556160606,,,low
NO,2017-08-19T02:00:00,4.50750404330303,,,low
NO,2017-08-19T03:00:00,4.287693998939393,,,low
NP,2017-08-19T00:00:00,14.0,,,low
NP,2017-08-19T01:00:00,13.0,,,low
NP,2017-08-19T02:00:00,17.5,,,low
RU,2017-08-19T00:00:00,,,,low
RU,2017-08-19T01:00:00,,,,low
RU,2017-08-19T02:00:00,,,,low
RU,2017-08-19T03:00:00,,,,low
SE,2017-08-19T00:00:00,6.421202500000001,,,low
SE,2017-08-19T01:00:00,6.005235,,,low
SE,2017-08-19T02:00:00,8.06791,,,low
SE,2017-08-19T03:00:00,9.0585625,,,low
TH,2017-08-19T00:00:00,,0.0032,0.6472727272727273,low
TH,2017-08-19T01:00:00,,0.0028024691358024692,0.5922,low
TH,2017-08-19T02:00:00,,0.0027733333333333334,0.5247826086956522,low
TH,2017-08-19T03:00:00,,0.003,0.49636363636363634,low
TR,2017-08-19T00:00:00,,,,low
TR,2017-08-19T01:00:00,,,,low
TR,2017-08-19T02:00:00,,,,low
TR,2017-08-19T03:00:00,,,,low
UG,2017-08-19T01:00:00,111.0,,,high
UG,2017-08-19T02:00:00,71.0,,,moderate
UG,2017-08-19T03:00:00,54.0,,,moderate
US,2017-08-19T00:00:00,8.183563748079877,0.0006598984771573604,0.2747096774193548,low
US,2017-08-19T01:00:00,8.73734793187348,0.0007373737373737373,0.268,low
US,2017-08-19T02:00:00,9.301618357487923,0.0007146464646464646,0.2935126582278481,low
US,2017-08-19T03:00:00,9.739317507418399,0.0006827956989247312,0.3097972972972973,low
VN,2017-08-19T00:00:00,62.5,,,moderate
VN,2017-08-19T01:00:00,62.85,,,moderate
VN,2017-08-19T02:00:00,55.8,,,moderate
VN,2017-08-19T03:00:00,41.3,,,low
XK,2017-08-19T01:00:00,13.0,,,low
XK,2017-08-19T02:00:00,17.0,,,low
XK,2017-08-19T03:00:00,20.0,,,low
ZA,2017-08-19T00:00:00,,0.007081818181818181,,low
ZA,2017-08-19T01:00:00,,0.013070000000000002,,low
ZA,2017-08-19T02:00:00,,0.00818888888888889,,low
ZA,2017-08-19T03:00:00,,0.0023666666666666667,,low
